頻道,#genre#
Gmm Channel,http://154.44.15.148:5781/v/1/151
GmmOne,http://154.44.15.148:5781/v/1/152
Goshop,http://154.44.15.148:5781/v/1/153
GTV,http://154.44.15.148:5781/v/1/154
HBTV HD,http://154.44.15.148:5781/v/1/161
Hits,http://154.44.15.148:5781/v/1/165
Hits Movie,http://154.44.15.148:5781/v/1/166
Hollywood Movies,http://154.44.15.148:5781/v/1/167
HTV 7,http://154.44.15.148:5781/v/1/168
HTV 9,http://154.44.15.148:5781/v/1/169
Indosiar HD,http://154.44.15.148:5781/v/1/170
iNews TV,http://154.44.15.148:5781/v/1/171
iNews 新聞台,http://154.44.15.148:5781/v/1/172
itv 1,http://154.44.15.148:5781/v/1/173
itv 2,http://154.44.15.148:5781/v/1/174
J 2,http://154.44.15.148:5781/v/1/175
J the Kpop,http://154.44.15.148:5781/v/1/176
J2 備用,http://154.44.15.148:5781/v/1/177
Jak TV,http://154.44.15.148:5781/v/1/178
JET 綜合,http://154.44.15.148:5781/v/1/179
JTV,http://154.44.15.148:5781/v/1/180
KBS World,http://154.44.15.148:5781/v/1/181
KBS World 24,http://154.44.15.148:5781/v/1/182
Kids TV,http://154.44.15.148:5781/v/1/183
Kompass TV,http://154.44.15.148:5781/v/1/184
Madinah HD,http://154.44.15.148:5781/v/1/186
Makkal TV,http://154.44.15.148:5781/v/1/187
MCOT HD Thailand-1,http://154.44.15.148:5781/v/1/188
Mecca Live HD,http://154.44.15.148:5781/v/1/189
Metro TV,http://154.44.15.148:5781/v/1/190
MiaoMi,http://154.44.15.148:5781/v/1/191
MNC TV,http://154.44.15.148:5781/v/1/192
Momo TV,http://154.44.15.148:5781/v/1/193
Mono,http://154.44.15.148:5781/v/1/194
More4,http://154.44.15.148:5781/v/1/195
Movies Now HD,http://154.44.15.148:5781/v/1/196
MTV Live,http://154.44.15.148:5781/v/1/197
Music TV,http://154.44.15.148:5781/v/1/198
Muslim TV,http://154.44.15.148:5781/v/1/199
NatGeo HD,http://154.44.15.148:5781/v/1/200
NatGeo Tamil,http://154.44.15.148:5781/v/1/201
NatGeo Wild HD,http://154.44.15.148:5781/v/1/202
Natgeo Wild Tamil,http://154.44.15.148:5781/v/1/203
Natgeo_HD,http://154.44.15.148:5781/v/1/204
NatGeo_Wild HD,http://154.44.15.148:5781/v/1/205
Nation,http://154.44.15.148:5781/v/1/206
NBA TV,http://154.44.15.148:5781/v/1/207
Nbt,http://154.44.15.148:5781/v/1/208
Net TV,http://154.44.15.148:5781/v/1/209
New,http://154.44.15.148:5781/v/1/210
News 18 Tamil,http://154.44.15.148:5781/v/1/211
NHK Oaska,http://154.44.15.148:5781/v/1/212
NHK World,http://154.44.15.148:5781/v/1/213
NHK-E,http://154.44.15.148:5781/v/1/214
NHK-総合-2,http://154.44.15.148:5781/v/1/215
NHKBS1,http://154.44.15.148:5781/v/1/216
NHKBSプレミア Premium,http://154.44.15.148:5781/v/1/217
Nick Jr,http://154.44.15.148:5781/v/1/218
Nickelodeon,http://154.44.15.148:5781/v/1/219
NTV7,http://154.44.15.148:5781/v/1/220
Oasis,http://154.44.15.148:5781/v/1/221
One,http://154.44.15.148:5781/v/1/222
Paramount Network,http://154.44.15.148:5781/v/1/223
Pick TV,http://154.44.15.148:5781/v/1/224
Picture HD,http://154.44.15.148:5781/v/1/225
PPTV Thailand1,http://154.44.15.148:5781/v/1/226
Prima,http://154.44.15.148:5781/v/1/227
Prima backup,http://154.44.15.148:5781/v/1/228
PTTH 1,http://154.44.15.148:5781/v/1/229
Rania,http://154.44.15.148:5781/v/1/230
RCTI,http://154.44.15.148:5781/v/1/231
RHK 31,http://154.44.15.148:5781/v/1/232
RHK 32,http://154.44.15.148:5781/v/1/233
Ria,http://154.44.15.148:5781/v/1/234
Ria backup,http://154.44.15.148:5781/v/1/235
Ria-3,http://154.44.15.148:5781/v/1/236
Rock Actions,http://154.44.15.148:5781/v/1/237
Rock Entertainment,http://154.44.15.148:5781/v/1/238
RTM Sports HD,http://154.44.15.148:5781/v/1/239
RTV,http://154.44.15.148:5781/v/1/240
Rugby Pass TV,http://154.44.15.148:5781/v/1/241
SBS Plus,http://154.44.15.148:5781/v/1/242
SCM,http://154.44.15.148:5781/v/1/243
SCTV,http://154.44.15.148:5781/v/1/244
Sensasi,http://154.44.15.148:5781/v/1/245
Showcase,http://154.44.15.148:5781/v/1/246
Skynews,http://154.44.15.148:5781/v/1/247
Skysports Arena,http://154.44.15.148:5781/v/1/248
Skysports Cricket,http://154.44.15.148:5781/v/1/249
Skysports EPL,http://154.44.15.148:5781/v/1/250
Skysports F1,http://154.44.15.148:5781/v/1/251
Skysports Football,http://154.44.15.148:5781/v/1/252
Skysports Golf,http://154.44.15.148:5781/v/1/253
Skysports Main Event,http://154.44.15.148:5781/v/1/254
Skysports Mix,http://154.44.15.148:5781/v/1/255
Skysports News,http://154.44.15.148:5781/v/1/256
Skysports NFL,http://154.44.15.148:5781/v/1/257
Skysports Racing,http://154.44.15.148:5781/v/1/258
Sony HD,http://154.44.15.148:5781/v/1/259
