台灣,#genre#
好消息,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv16
好消息2台,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv17
大愛,https://pulltv1.wanfudaluye.com/live/tv1.m3u8#https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8#https://pulltv2.wanfudaluye.com/live/tv2.m3u8
國會頻道1,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv084
國會頻道2,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv085

新聞,#genre#
民視新聞台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台視新聞台,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視財經台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv056
中視新聞台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ctinews/playlist.m3u8
TVBS 新聞台,http://125.227.210.55:8186/VideoInput/play.ts
東森新聞,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvcaijing_twn/playlist.m3u8
東森財經新聞,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv152
非凡新聞台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/feifannews_twn/playlist.m3u8
年代新聞ᴴᴰ,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/niandainews_twn/playlist.m3u8
中天新聞台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ctinews/playlist.m3u8
半島國際新聞台,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv10

體育,#genre#
緯來體育,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/videolandsport/playlist.m3u8
愛爾達體育1台,http://jaz9.my.to:9981/stream/channelid/1498275861?profile=pass
愛爾達體育2台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eltasport2_twn/playlist.m3u8
愛爾達體育3台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eltasport3_twn/playlist.m3u8
愛爾達體育4台,http://jaz9.my.to:9981/stream/channelid/366311027?profile=pass
博斯運動一台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn07
博斯運動二台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn08
博斯無限台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn10
博斯無限二台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn13
博斯網球台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn09
博斯高球二台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn06
博斯魅力台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn04
DAZN1,rtmp://f13h.mine.nu/sat/tv731
DAZN2,rtmp://f13h.mine.nu/sat/tv741
DAZN3,http://jaz9.my.to:9981/stream/channelid/1415211136?profile=pass

電影,#genre#
AXN,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/axn_twn/playlist.m3u8
HBOᴴᴰ,http://125.227.210.55:8153/VideoInput/play.ts
WarnerTV,https://stream1.freetv.fun/3cb6d3f8669697ace44349c7f930813c4d90680244a07b501e224331f4ddfb45.ctv
Hollywoodᴴᴰ,https://stream1.freetv.fun/a813570c8e88be54a4786f7b757a3a8b49b5bc85ed2232fc1242cfd5cfb06480.ctv
AMC 電影台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv017
CINEMAX,http://125.227.210.55:8151/VideoInput/play.ts
HISTORY,http://37.27.111.214:8080/live/27/hls.m3u8
影迷數位電影台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv011
CatchPlay 電影台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv076
緯來電影,https://stream1.freetv.fun/9e136afb1dc4118ba8ebb860706c3dd76e3991d9f9acf3a9abdeee8e1f0261f2.m3u8
龍祥時代,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lungxiangtime_twn/playlist.m3u8/playlist.m3u8
龍華洋片台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lunghuawestern_twn/playlist.m3u8
龍華電影台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn03
龍華經典台,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn21
靖天電影台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv061

紀實,#genre#
HGTV居家樂活頻道,http://jaz9.my.to:9981/stream/channelid/986731478?profile=pass
Discovery,http://125.227.210.55:8154/VideoInput/play.ts
Discovery亞洲,http://jaz9.my.to:9981/stream/channelid/1178871237?profile=pass
Discovery科學,http://jaz9.my.to:9981/stream/channelid/1481966099?profile=pass
DMAX,http://jaz9.my.to:9981/stream/channelid/558123812?profile=pass
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
LOVE NATURE,http://jaz9.my.to:9981/stream/channelid/1407267167?profile=pass
